title,href,date,excerpt
REUTERS RELEASES REUTERS TV APP FOR APPLE TV,https://www.reuters.tv/press/detail-apple-tv,"October 29, 2015","Today Reuters, the world&rsquo;s largest international multimedia news provider, released Reuters TV for Apple TV. Following the successful launch of Reuters TV for iPhone and iPad earlier this year, the new Reuters TV for Apple TV extends the revolutionary on-demand mobile TV service to viewers&rsquo; living rooms."
REUTERS RELEASES REUTERS TV APP FOR IPAD,https://www.reuters.tv/press/detail-ipad,"June 4, 2015","Reuters launches native iPad support for Reuters TV, the world&rsquo;s first mobile TV news service designed for on-the-go, informed, globally-minded consumers who don&rsquo;t watch traditional TV news."
REUTERS TV RELEASED,https://www.reuters.tv/press/detail,"February 4, 2015","Today Reuters, the world&rsquo;s leading news organization, released Reuters TV, a revolutionary mobile TV news service. Delivered via a beautifully designed iPhone app, Reuters TV defines a new category of TV news by offering cohesive, personalized news coverage that is available anywhere and on-demand."
